#atom|charge|method|property|T(K)|Value|spin multiplicity|unit|reference|
Co|0|exp|H(0)-H(T)|5400|567.761|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|S0(T)|5400|255.181|2|J/mol K|http://kinetics.nist.gov/janaf|
Co|0|exp|H(0)-H(T)|5600|573.684|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|S0(T)|5600|256.258|2|J/mol K|http://kinetics.nist.gov/janaf|
Co|0|exp|H(0)-H(T)|5800|579.722|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|S0(T)|5800|257.317|2|J/mol K|http://kinetics.nist.gov/janaf|
Co|0|exp|H(0)-H(T)|6000|585.827|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|S0(T)|6000|258.351|2|J/mol K|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|0|425.087|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|100|426.644|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|200|426.836|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|250|426.771|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|298.15|426.676|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|300|426.673|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|350|426.583|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|400|426.487|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|450|426.378|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|500|426.250|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|600|425.924|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|700|425.489|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|800|424.503|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|900|423.781|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1000|422.837|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1100|421.637|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1200|420.145|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1300|418.214|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1400|415.716|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1500|414.233|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1600|413.009|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1700|411.885|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1800|394.495|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|1900|393.116|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2000|391.734|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2100|390.348|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2200|388.958|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2300|387.564|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2400|386.164|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2500|384.758|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2600|383.348|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2700|381.933|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2800|380.514|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|2900|379.092|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3000|377.667|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3100|376.241|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3200|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3300|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3400|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3500|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3600|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3700|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3800|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|3900|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4000|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4100|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4200|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4300|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4400|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4500|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4600|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4700|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4800|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|4900|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5000|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5100|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5200|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5300|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5400|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5500|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5600|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5700|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5800|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|5900|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Co|0|exp|DHf(T)|6000|0.|2|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|0|0|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|0|0|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|100|0.311|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|100|4.286|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|200|1.895|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|200|14.869|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|298.15|4.057|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|298.15|23.618|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|300|4.1|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|300|23.764|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|311.500|4.372|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|311.500|24.651|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|311.500|4.373|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|311.500|24.654|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|400|6.538|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|400|30.765|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|500|9.135|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|500|36.553|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|600|11.854|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|600|41.508|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|700|14.669|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|700|45.846|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|800|17.568|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|800|49.715|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|900|20.562|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|900|53.241|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1000|23.678|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1000|56.523|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1100|26.944|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1100|59.634|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1200|30.375|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1200|62.618|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1300|33.99|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1300|65.511|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1400|37.801|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1400|68.334|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1500|41.817|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1500|71.104|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1600|46.043|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1600|73.831|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1700|50.484|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1700|76.523|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1800|55.144|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1800|79.186|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|1900|60.027|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|1900|81.825|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2000|65.134|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2000|84.444|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2100|70.468|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2100|87.046|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2130.000|72.113|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2130.000|87.824|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2130.000|92.615|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2130.000|97.449|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2200|95.368|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2200|98.721|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2300|99.301|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2300|100.469|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2400|103.234|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2400|102.143|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2500|107.167|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2500|103.749|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2600|111.1|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2600|105.291|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2700|115.033|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2700|106.775|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2800|118.966|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2800|108.206|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2900|122.899|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2900|109.586|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2952.078|124.947|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2952.078|110.286|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|2952.078|464.484|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|2952.078|225.302|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3000|465.954|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3000|225.796|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3100|469.058|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3100|226.814|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3200|472.213|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3200|227.815|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3300|475.417|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3300|228.801|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3400|478.668|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3400|229.772|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3500|481.966|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3500|230.728|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3600|485.31|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3600|231.67|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3700|488.702|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3700|232.599|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3800|492.142|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3800|233.516|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|3900|495.632|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|3900|234.423|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4000|499.174|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4000|235.32|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4100|502.772|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4100|236.208|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4200|506.427|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4200|237.089|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4300|510.146|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4300|237.964|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4400|513.931|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4400|238.834|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4500|517.789|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4500|239.701|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4600|521.724|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4600|240.566|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4700|525.743|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4700|241.43|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4800|529.852|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4800|242.295|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|4900|534.06|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|4900|243.163|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|5000|538.372|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|5000|244.034|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|5200|546.879|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|5200|245.697|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|5400|556.093|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|5400|247.435|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|5600|565.781|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|5600|249.197|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|5800|575.982|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|5800|250.986|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|H(0)-H(T)|6000|586.739|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|S0(T)|6000|252.809|1|J/mol K|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|0|395.340|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|100|397.107|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|200|397.602|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|250|397.581|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|298.15|397.480|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|300|397.475|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|350|397.317|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|400|397.116|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|450|396.874|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|500|396.598|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|600|395.957|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|700|395.221|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|800|394.401|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|900|393.486|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1000|392.452|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1100|391.272|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1200|389.937|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1300|388.432|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1400|386.751|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1500|384.895|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1600|382.865|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1700|380.665|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1800|378.297|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|1900|375.764|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2000|373.068|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2100|370.211|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2200|347.856|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2300|346.537|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2400|345.287|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2500|344.104|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2600|342.986|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2700|341.932|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2800|340.939|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|2900|340.003|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3000|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3100|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3200|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3300|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3400|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3500|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3600|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3700|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3800|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|3900|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4000|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4100|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4200|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4300|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4400|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4500|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4600|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4700|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4800|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|4900|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5000|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5100|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5200|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5300|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5400|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5500|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5600|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5700|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5800|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|5900|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cr|0|exp|DHf(T)|6000|0.|1|kJ/mol|http://kinetics.nist.gov/janaf|
Cs|0|exp|H(0)-H(T)|0|0|2|kJ/mol|http://kinetics.nist.gov/janaf|
Cs|0|exp|S0(T)|0|0|2|J/mol K|http://kinetics.nist.gov/janaf|
Cs|0|exp|H(0)-H(T)|100|2.149|2|kJ/mol|http://kinetics.nist.gov/janaf|
Cs|0|exp|S0(T)|100|54.952|2|J/mol K|http://kinetics.nist.gov/janaf|
Cs|0|exp|H(0)-H(T)|200|4.829|2|kJ/mol|http://kinetics.nist.gov/janaf|
Cs|0|exp|S0(T)|200|73.453|2|J/mol K|http://kinetics.nist.gov/janaf|
Cs|0|exp|H(0)-H(T)|298.15|7.717|2|kJ/mol|http://kinetics.nist.gov/janaf|
Cs|0|exp|S0(T)|298.15|85.147|2|J/mol K|http://kinetics.nist.gov/janaf|
Cs|0|exp|H(0)-H(T)|300|7.777|2|kJ/mol|http://kinetics.nist.gov/janaf|
Cs|0|exp|S0(T)|300|85.347|2|J/mol K|http://kinetics.nist.gov/janaf|
Cs|0|exp|H(0)-H(T)|301.550|7.827|2|kJ/mol|http://kinetics.nist.gov/janaf|
Cs|0|exp|S0(T)|301.550|85.514|2|J/mol K|http://kinetics.nist.gov/janaf|
Cs|0|exp|H(0)-H(T)|301.550|9.914|2|kJ/mol|http://kinetics.nist.gov/janaf|
Cs|0|exp|S0(T)|301.550|92.436|2|J/mol K|http://kinetics.nist.gov/janaf|
Cs|0|exp|H(0)-H(T)|400|13.056|2|kJ/mol|http://kinetics.nist.gov/janaf|
Cs|0|exp|S0(T)|400|101.458|2|J/mol K|http://kinetics.nist.gov/janaf|
Cs|0|exp|H(0)-H(T)|500|16.188|2|kJ/mol|http://kinetics.nist.gov/janaf|
